resourceProvider,resourceType,resourceGroup,subscription,regionMove
microsoft.resourcehealth,metadata,No,No,No
microsoft.resourcehealth,notifications,No,No,No
microsoft.resources,deployments,No,No,No
microsoft.resources,deploymentscripts,No,No,Yes
microsoft.resources,deploymentscripts/logs,No,No,No
microsoft.resources,links,No,No,No
microsoft.resources,providers,No,No,No
microsoft.resources,resourcegroups,No,No,No
microsoft.resources,resources,No,No,No
microsoft.resources,subscriptions,No,No,No
microsoft.resources,tags,No,No,No
microsoft.resources,templatespecs,No,No,
microsoft.resources,templatespecs/versions,No,No,No
microsoft.resources,tenants,No,No,No
microsoft.saas,applications,Yes,No,No
microsoft.saas,resources,Yes,Yes,No
microsoft.saas,saasresources,No,No,No
microsoft.search,resourcehealthmetadata,No,No,No
microsoft.search,searchservices,Yes,Yes,No
microsoft.security,adaptivenetworkhardenings,No,No,No
microsoft.security,advancedthreatprotectionsettings,No,No,No
microsoft.security,alerts,No,No,No
microsoft.security,allowedconnections,No,No,No
microsoft.security,applicationwhitelistings,No,No,No
microsoft.security,assessmentmetadata,No,No,No
microsoft.security,assessments,No,No,No
microsoft.security,autodismissalertsrules,No,No,No
microsoft.security,automations,Yes,Yes,No
microsoft.security,autoprovisioningsettings,No,No,No
microsoft.security,complianceresults,No,No,No
microsoft.security,compliances,No,No,No
microsoft.security,datacollectionagents,No,No,No
microsoft.security,devicesecuritygroups,No,No,No
microsoft.security,discoveredsecuritysolutions,No,No,No
microsoft.security,externalsecuritysolutions,No,No,No
microsoft.security,informationprotectionpolicies,No,No,No
microsoft.security,iotsecuritysolutions,Yes,Yes,No
microsoft.security,iotsecuritysolutions/analyticsmodels,No,No,No
microsoft.security,iotsecuritysolutions/analyticsmodels/aggregatedalerts,No,No,No
microsoft.security,iotsecuritysolutions/analyticsmodels/aggregatedrecommendations,No,No,No
microsoft.security,jitnetworkaccesspolicies,No,No,No
microsoft.security,policies,No,No,No
microsoft.security,pricings,No,No,No
microsoft.security,regulatorycompliancestandards,No,No,No
microsoft.security,regulatorycompliancestandards/regulatorycompliancecontrols,No,No,No
microsoft.security,regulatorycompliancestandards/regulatorycompliancecontrols/regulatorycomplianceassessments,No,No,No
microsoft.security,securitycontacts,No,No,No
microsoft.security,securitysolutions,No,No,No
microsoft.security,securitysolutionsreferencedata,No,No,No
microsoft.security,securitystatuses,No,No,No
microsoft.security,securitystatusessummaries,No,No,No
microsoft.security,servervulnerabilityassessments,No,No,No
microsoft.security,settings,No,No,No
microsoft.security,subassessments,No,No,No
microsoft.security,tasks,No,No,No
microsoft.security,topologies,No,No,No
microsoft.security,workspacesettings,No,No,No
microsoft.securityinsights,aggregations,No,No,No
microsoft.securityinsights,alertrules,No,No,No
microsoft.securityinsights,alertruletemplates,No,No,No
microsoft.securityinsights,automationrules,No,No,No
microsoft.securityinsights,bookmarks,No,No,No
microsoft.securityinsights,cases,No,No,No
microsoft.securityinsights,dataconnectors,No,No,No
microsoft.securityinsights,entities,No,No,No
microsoft.securityinsights,entityqueries,No,No,No
microsoft.securityinsights,incidents,No,No,No
microsoft.securityinsights,officeconsents,No,No,No
microsoft.securityinsights,settings,No,No,No
microsoft.securityinsights,threatintelligence,No,No,No
microsoft.serialconsole,consoleservices,No,No,No
microsoft.servermanagement,gateways,No,No,No
microsoft.servermanagement,nodes,No,No,No
microsoft.servicebus,namespaces,Yes,Yes,Yes
microsoft.servicebus,premiummessagingregions,No,No,No
microsoft.servicebus,sku,No,No,No
microsoft.servicefabric,applications,No,No,No
microsoft.servicefabric,clusters,Yes,Yes,No
microsoft.servicefabric,containergroups,No,No,No
microsoft.servicefabric,containergroupsets,No,No,No
microsoft.servicefabric,edgeclusters,No,No,No
microsoft.servicefabric,managedclusters,No,No,No
microsoft.servicefabric,networks,No,No,No
microsoft.servicefabric,secretstores,No,No,No
microsoft.servicefabric,volumes,No,No,No
microsoft.servicefabricmesh,applications,Yes,Yes,No
microsoft.servicefabricmesh,containergroups,No,No,No
microsoft.servicefabricmesh,gateways,Yes,Yes,No
microsoft.servicefabricmesh,networks,Yes,Yes,No
microsoft.servicefabricmesh,secrets,Yes,Yes,No
microsoft.servicefabricmesh,volumes,Yes,Yes,No
microsoft.servicenetworking,trafficcontrollers,No,No,No
microsoft.servicenetworking,associations,No,No,No
microsoft.servicenetworking,frontends,No,No,No
microsoft.services,rollouts,No,No,No
microsoft.signalrservice,signalr,Yes,Yes,No
microsoft.softwareplan,hybridusebenefits,No,No,No
microsoft.solutions,applicationdefinitions,No,No,No
microsoft.solutions,applications,No,No,No
microsoft.solutions,jitrequests,No,No,No
microsoft.sql,instancepools,No,No,No
microsoft.sql,locations,Yes,Yes,No
microsoft.sql,managedinstances,No,No,Yes
microsoft.sql,managedinstances/databases,No,No,Yes
microsoft.sql,servers,Yes,Yes,Yes
microsoft.sql,servers/databases,Yes,Yes,Yes
microsoft.sql,servers/databases/backuplongtermretentionpolicies,Yes,Yes,No
microsoft.sql,servers/elasticpools,Yes,Yes,Yes
microsoft.sql,servers/jobaccounts,Yes,Yes,No
microsoft.sql,servers/jobagents,Yes,Yes,No
microsoft.sql,virtualclusters,No,No,No
microsoft.sqlvirtualmachine,sqlvirtualmachinegroups,No,No,No
microsoft.sqlvirtualmachine,sqlvirtualmachines,No,No,No
microsoft.storage,storageaccounts,Yes,Yes,
microsoft.storagecache,caches,No,No,No
microsoft.storagesync,storagesyncservices,Yes,Yes,No
microsoft.storagesyncdev,storagesyncservices,No,No,No
microsoft.storagesyncint,storagesyncservices,No,No,No
microsoft.storsimple,managers,No,No,No
microsoft.streamanalytics,clusters,No,No,No
microsoft.streamanalytics,streamingjobs,Yes,Yes,No
microsoft.streamanalyticsexplorer,environments,No,No,No
microsoft.streamanalyticsexplorer,instances,No,No,No
microsoft.subscription,subscriptions,No,No,No
microsoft.support,services,No,No,No
microsoft.support,supporttickets,No,No,No
microsoft.synapse,workspaces,No,No,No
microsoft.synapse,workspaces/bigdatapools,No,No,No
microsoft.synapse,workspaces/sqlpools,No,No,No
microsoft.timeseriesinsights,environments,Yes,Yes,No
microsoft.timeseriesinsights,environments/eventsources,Yes,Yes,No
microsoft.timeseriesinsights,environments/referencedatasets,Yes,Yes,No
microsoft.token,stores,Yes,Yes,No
microsoft.virtualmachineimages,imagetemplates,No,No,No
microsoft.visualstudio,account,No,No,No
microsoft.visualstudio,account/extension,No,No,No
microsoft.visualstudio,account/project,No,No,No
microsoft.vmware,arczones,No,No,No
microsoft.vmware,resourcepools,No,No,No
microsoft.vmware,vcenters,No,No,No
microsoft.vmware,virtualmachines,No,No,No
microsoft.vmware,virtualmachinetemplates,No,No,No
microsoft.vmware,virtualnetworks,No,No,No
microsoft.vmwarecloudsimple,dedicatedcloudnodes,No,No,No
microsoft.vmwarecloudsimple,dedicatedcloudservices,No,No,No
microsoft.vmwarecloudsimple,virtualmachines,No,No,No
microsoft.vnfmanager,devices,No,No,No
microsoft.vnfmanager,vnfs,No,No,No
microsoft.vsonline,accounts,No,No,No
microsoft.vsonline,plans,No,No,No
microsoft.vsonline,registeredsubscriptions,No,No,No
microsoft.web,availablestacks,No,No,No
microsoft.web,billingmeters,No,No,No
microsoft.web,certificates,No,Yes,No
microsoft.web,certificates (managed),No,No,No
microsoft.web,connectiongateways,Yes,Yes,No
microsoft.web,connections,Yes,Yes,No
microsoft.web,customapis,Yes,Yes,No
microsoft.web,deletedsites,No,No,No
microsoft.web,deploymentlocations,No,No,No
microsoft.web,georegions,No,No,No
microsoft.web,hostingenvironments,No,No,No
microsoft.web,kubeenvironments,Yes,Yes,No
microsoft.web,publishingusers,No,No,No
microsoft.web,recommendations,No,No,No
microsoft.web,resourcehealthmetadata,No,No,No
microsoft.web,runtimes,No,No,No
microsoft.web,serverfarms,Yes,Yes,No
microsoft.web,serverfarms/eventgridfilters,No,No,No
microsoft.web,sites,Yes,Yes,No
microsoft.web,sites/premieraddons,Yes,Yes,No
microsoft.web,sites/slots,Yes,Yes,No
microsoft.web,sourcecontrols,No,No,No
microsoft.web,staticsites,Yes,Yes,No
microsoft.windowsesu,multipleactivationkeys,No,No,No
microsoft.windowsiot,deviceservices,No,No,No
microsoft.workloadbuilder,workloads,No,No,No
microsoft.workloadmonitor,components,No,No,No
microsoft.workloadmonitor,componentssummary,No,No,No
microsoft.workloadmonitor,monitorinstances,No,No,No
microsoft.workloadmonitor,monitorinstancessummary,No,No,No
microsoft.workloadmonitor,monitors,No,No,No
